id,id_no,op_num,first_name,last_name,age,Sex,Status,phone_num,physical_address,dob,nhif,number_of_visits,date_in
,24058200,716264,nakir,haib,27,Female,Active,723158504,sadf sdf,12-08-22,942720,1,15-01-20
,69605083,772706,demo,test,3,Male,Active,725656125,demo test,12-08-22,680492,5,01-05-19
,63712690,166805,anik,Junianto,54,Male,Active,711348521,fdfdfd,11-08-22,641872,2,28-07-19
,43433898,791994,Heinrich,Janos,29,Male,Active,704567902,Cijantung,01-08-00,441182,5,25-02-20
,23891857,444441,MD SJAOKSAS,fdsgh,59,Male,Active,708933485,htrh,10-08-22,812564,3,27-04-22
,45442868,444866,Fei,Fei,58,Male,Active,700715820,Eastleigh,10-08-22,590106,5,08-04-22
,80033747,378835,sa,s,14,Male,Active,727895407,sasasda,09-08-22,282506,4,06-08-22
,88017726,716580,Jamal,Ismaili,4,Male,Active,723911953,Nairobi.,20-08-99,269975,1,10-09-21
,48621364,121366,Harikrishna,Dunga,55,Male,Active,761444605,"3-84, Navanambadu village, ponnam post main street",05-08-22,844335,5,04-07-21
,69487310,476624,Kong,Sovandanet,27,Female,Active,796615136,SMC,03-08-22,972977,1,19-12-21
,85933750,587391,Rahul,Kumar,82,Male,Active,775548448,Bihar,02-08-22,111728,1,26-04-19
,43441410,318169,Chamnan,Keo,28,Male,Active,729740437,"#872, Plov Lum, Sangkat Stueng Mean Chey Khan Mean Chey",08-08-06,745647,2,20-02-21
,16754927,743964,Mac,Apple,38,Male,Active,707523570,22 brook avenue new york,01-08-22,636373,2,06-01-21
,23618204,393913,aisha,mohad,33,Female,Active,788600090,wserfhyuj8ol;p,29-07-22,178828,1,12-02-20
,44629867,640253,Moflix,Concept,15,Male,Active,706757477,kjyvvhjvbjhvb,28-07-22,634027,4,02-06-20
,25655482,570018,DEVENDER,REDDY,80,Male,Active,722870439,JAMMIKUNTA,13-05-84,897156,5,30-03-22
